order_id,date,branch,product,category,quantity,unit_price,payment
1001,2026-01-07,Battambang,Lemon Tea,Tea,3,1.75,KHQR
1002,2026-01-07,Siem Reap,Americano,Coffee,1,2.00,KHQR
1003,2026-01-08,Phnom Penh,Iced Latte,Coffee,1,2.50,Cash
1004,2026-01-10,Phnom Penh,Iced Latte,Coffee,1,2.50,Card
1005,2026-01-10,Phnom Penh,Iced Latte,Coffee,2,2.50,Card
1006,2026-01-10,Battambang,Croissant,Food,1,1.80,KHQR
1007,2026-01-11,Battambang,Americano,Coffee,4,2.00,KHQR
1008,2026-01-12,Phnom Penh,Iced Latte,Coffee,1,2.50,KHQR
1009,2026-01-12,Phnom Penh,Green Tea Latte,Tea,1,2.75,KHQR
1010,2026-01-15,Siem Reap,Americano,Coffee,4,2.00,Cash
1011,2026-01-18,Siem Reap,Green Tea Latte,Tea,2,2.75,KHQR
1012,2026-01-18,Siem Reap,Banana Cake,Food,3,1.50,Cash
1013,2026-01-19,Phnom Penh,Cappuccino,Coffee,1,2.75,Cash
1014,2026-01-22,Phnom Penh,Iced Latte,Coffee,1,2.50,KHQR
1015,2026-01-22,Phnom Penh,Americano,Coffee,1,2.00,KHQR
1016,2026-01-23,Phnom Penh,Iced Latte,Coffee,1,2.50,Card
1017,2026-01-26,Phnom Penh,Lemon Tea,Tea,1,1.75,KHQR
1018,2026-01-29,Phnom Penh,Americano,Coffee,3,2.00,Card
1019,2026-01-31,Phnom Penh,Cappuccino,Coffee,1,2.75,KHQR
1020,2026-02-02,Phnom Penh,Americano,Coffee,3,2.00,KHQR
1021,2026-02-06,Battambang,Iced Latte,Coffee,2,2.50,KHQR
1022,2026-02-07,Phnom Penh,Green Tea Latte,Tea,2,2.75,Card
1023,2026-02-08,Siem Reap,Banana Cake,Food,1,1.50,KHQR
1024,2026-02-08,Siem Reap,Iced Latte,Coffee,2,2.50,Cash
1025,2026-02-09,Phnom Penh,Americano,Coffee,3,2.00,Card
1026,2026-02-09,Battambang,Banana Cake,Food,3,1.50,Cash
1027,2026-02-10,Siem Reap,Iced Latte,Coffee,1,2.50,KHQR
1028,2026-02-14,Phnom Penh,Iced Latte,Coffee,1,2.50,Cash
1029,2026-02-14,Phnom Penh,Fried Rice,Food,3,3.50,Card
1030,2026-02-16,Phnom Penh,Fried Rice,Food,1,3.50,KHQR
1031,2026-02-18,Phnom Penh,Iced Latte,Coffee,2,2.50,Card
1032,2026-02-19,Phnom Penh,Banana Cake,Food,2,1.50,Cash
1033,2026-02-19,Siem Reap,Iced Latte,Coffee,3,2.50,Cash
1034,2026-02-20,Phnom Penh,Croissant,Food,1,1.80,Cash
1035,2026-02-21,Battambang,Americano,Coffee,4,2.00,KHQR
1036,2026-02-22,Battambang,Cappuccino,Coffee,2,2.75,KHQR
1037,2026-02-23,Phnom Penh,Iced Latte,Coffee,3,2.50,Card
1038,2026-02-24,Battambang,Iced Latte,Coffee,4,2.50,Cash
1039,2026-02-26,Siem Reap,Americano,Coffee,1,2.00,KHQR
1040,2026-02-27,Siem Reap,Fried Rice,Food,2,3.50,Card
1041,2026-02-28,Battambang,Cappuccino,Coffee,3,2.75,KHQR
1042,2026-03-01,Phnom Penh,Americano,Coffee,1,2.00,Cash
1043,2026-03-03,Phnom Penh,Americano,Coffee,1,2.00,Card
1044,2026-03-03,Phnom Penh,Americano,Coffee,2,2.00,Card
1045,2026-03-03,Battambang,Cappuccino,Coffee,2,2.75,Cash
1046,2026-03-03,Phnom Penh,Green Tea Latte,Tea,1,2.75,KHQR
1047,2026-03-04,Siem Reap,Iced Latte,Coffee,1,2.50,KHQR
1048,2026-03-04,Siem Reap,Croissant,Food,1,1.80,Cash
1049,2026-03-04,Siem Reap,Green Tea Latte,Tea,1,2.75,Cash
1050,2026-03-07,Phnom Penh,Iced Latte,Coffee,2,2.50,Cash
1051,2026-03-08,Siem Reap,Green Tea Latte,Tea,3,2.75,KHQR
1052,2026-03-09,Siem Reap,Lemon Tea,Tea,2,1.75,Cash
1053,2026-03-10,Siem Reap,Cappuccino,Coffee,1,2.75,Card
1054,2026-03-10,Battambang,Lemon Tea,Tea,3,1.75,KHQR
1055,2026-03-11,Battambang,Green Tea Latte,Tea,3,2.75,KHQR
1056,2026-03-12,Phnom Penh,Iced Latte,Coffee,1,2.50,KHQR
1057,2026-03-12,Siem Reap,Iced Latte,Coffee,2,2.50,Card
1058,2026-03-12,Siem Reap,Iced Latte,Coffee,2,2.50,KHQR
1059,2026-03-14,Battambang,Banana Cake,Food,1,1.50,Card
1060,2026-03-16,Phnom Penh,Cappuccino,Coffee,4,2.75,Card
1061,2026-03-17,Phnom Penh,Iced Latte,Coffee,2,2.50,KHQR
1062,2026-03-19,Phnom Penh,Iced Latte,Coffee,2,2.50,KHQR
1063,2026-03-20,Phnom Penh,Green Tea Latte,Tea,1,2.75,KHQR
1064,2026-03-21,Siem Reap,Lemon Tea,Tea,1,1.75,Card
1065,2026-03-22,Battambang,Croissant,Food,1,1.80,KHQR
1066,2026-03-23,Siem Reap,Iced Latte,Coffee,1,2.50,KHQR
1067,2026-03-24,Battambang,Cappuccino,Coffee,3,2.75,KHQR
1068,2026-03-24,Battambang,Iced Latte,Coffee,2,2.50,Cash
1069,2026-03-28,Phnom Penh,Iced Latte,Coffee,2,2.50,KHQR
1070,2026-03-28,Battambang,Iced Latte,Coffee,2,2.50,Card
1071,2026-03-30,Battambang,Iced Latte,Coffee,1,2.50,Card
1072,2026-03-30,Phnom Penh,Cappuccino,Coffee,2,2.75,Card
