order_id,date,branch,product,quantity,unit_price,payment
2001,2026-04-01,Phnom Penh,Iced Latte,2,$2.50,KHQR
2002,2026-04-01, phnom penh,americano,1,$2.00,cash
2003,2026-04-02,Siem Reap,Croissant,,1.80,Card
2004,2026-04-02,SIEM REAP,Iced Latte ,3,$2.50,KHQR
2005,2026-04-03,Battambang,Lemon Tea,2,$1.75,
2005,2026-04-03,Battambang,Lemon Tea,2,$1.75,
2006,2026-04-04,Phnom Penh,Fried Rice,1,$3.50,khqr
2007,2026-04-04,Battambong,Cappuccino,1,2.75,Cash
2008,2026-04-05,Phnom Penh,iced latte,4,$2.50,KHQR
2009,2026-04-05,Siem Reap,Banana Cake,2,$1.50,Cash
2010,2026-04-06,phnom penh ,Green Tea Latte,n/a,$2.75,Card
2011,2026-04-06,Phnom Penh,Americano,2,$2.00,KHQR
2012,2026-04-07,Battambang,Croissant,3,$1.80,KHQR
2013,2026-04-07,Siem Reap,Cappuccino,1,$2.75,
2014,2026-04-08,Phnom Penh,Iced Latte,1,$2.50,Cash
2014,2026-04-08,Phnom Penh,Iced Latte,1,$2.50,Cash
2015,2026-04-08,Siem Reap,lemon tea,2,1.75,KHQR
2016,2026-04-09,Phnom Penh,Fried Rice,2,$3.50,Card
2017,2026-04-09,Battambang,Iced Latte,1,$2.50,KHQR
2018,2026-04-10,SIEM REAP,Fried Rice,1,$3.50,Cash
